cycle_id,scenario_id,scenario_cycle,scenario_name,soil_moisture_pct,soil_state,energy_state,lora_success_ratio,lora_ack_condition,wifi_available,wifi_ack_condition,ble_available,ble_reliable_ack_condition,dtn_backlog_before_dataset,packet_size,event_type_dataset,priority_dataset,cm_priority,cm_event_type,cm_main_path,cm_sub_policy,cm_decision,cm_selected_interface,cm_outcome,cm_ack_success,cm_dtn_before,cm_dtn_after,cm_flush_triggered,cm_flush_interface,cm_flush_sent,cm_wifi_scan_done,cm_energy_proxy,runner_lora_ops,runner_wifi_ops,runner_ble_reliable_ops,runner_ble_adv_ops,runner_wifi_maint_ops,runner_total_radio_ops,expected_policy,expected_selected_interface,expected_decision,expected_outcome,expected_dtn_action,expected_dtn_backlog_after,match_interface,match_outcome,match_dtn_after
24,S10,7,Scheduled WiFi maintenance gating,39,Normal,OK,0.87,Yes,No,NA,No,NA,8,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,8,8,0,,0,1,2.5,1,0,0,0,1,2,normal_lora_with_wifi_maintenance,LORA,Send,Delivered,None,8,1,1,1
25,S9,1,High DTN backlog; OK energy; ANSA-Lite recovery,40,Normal,OK,0.78,Yes,Yes,Yes,No,NA,30,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,30,30,0,,0,0,1.7,1,0,0,0,0,1,normal_lora_plus_ansa_flush,LORA,Send,Delivered,Dequeue,27,1,1,0
26,S5,10,Extreme wet; OK energy; deterministic cascade,93,Extreme_Wet,OK,0.305,No,No,NA,No,NA,21,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_store_after_failed_paths,dtn,stored,0,21,22,0,,0,0,1.3,1,1,1,1,0,4,critical_environmental_full_cascade,DTN,Store,Stored,Enqueue,22,1,1,1
27,S9,4,High DTN backlog; OK energy; ANSA-Lite recovery,43,Normal,OK,0.765,Yes,Yes,No,No,NA,33,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,33,33,0,,0,0,1.7,1,0,0,0,0,1,normal_lora_plus_ansa_flush,LORA,Send,Delivered,Retain_failed_flush,33,1,1,1
28,S3,7,Rainfall/noncritical wet soil with weak LoRa,77,Wet,OK,0.19,No,No,NA,No,NA,9,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,9,10,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_wet_weak_lora,DTN,Store,Stored,Enqueue,10,1,1,1
29,S9,8,High DTN backlog; OK energy; ANSA-Lite recovery,42,Normal,OK,0.745,Yes,Yes,No,No,NA,37,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,37,38,0,,0,0,0.3,0,0,0,0,0,0,normal_lora_plus_ansa_flush,LORA,Send,Delivered,Retain_failed_flush,37,0,0,0
30,S4,4,Extreme dry; OK energy; deterministic cascade,8,Extreme_Dry,OK,0.37,No,No,NA,Yes,Yes,13,128,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental,critical_ble_tx,ble,success,1,13,13,0,,0,0,1.7,1,1,1,0,0,3,critical_environmental_full_cascade,BLE_RELIABLE,Send,Delivered,None,13,1,1,1
31,S1,9,Normal soil; OK energy; reliable LoRa,37,Normal,OK,0.94,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,0,0,0,,0,0,1.7,1,0,0,0,0,1,fuzzy_lora_tx,LORA,Send,Delivered,None,0,1,1,1
32,S5,8,Extreme wet; OK energy; deterministic cascade,95,Extreme_Wet,OK,0.31499999999999995,Yes,No,NA,No,NA,19,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_lora_tx,lora,success,1,19,19,0,,0,0,1.7,1,0,0,0,0,1,critical_environmental_full_cascade,LORA,Send,Delivered,None,19,1,1,1
33,S6,10,Extreme soil event; LOW energy; LoRa-only emergency,7,Extreme_Dry,LOW,0.36,No,Yes,NA,Yes,NA,27,96,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_store,dtn,stored,0,27,28,0,,0,0,1.3,1,0,0,0,0,1,low_energy_critical_lora_only,DTN,Store,Stored,Enqueue,28,1,1,1
